symbol,timestamp,open,high,low,close,SMA_50
BTCUSDT,2025-02-05,98047.81,98342.25,97365.26,97866.33,97050.04382789963
BTCUSDT,2025-02-05,97764.43,98936.79,97143.31,98047.81,97089.35658660867
BTCUSDT,2025-02-04,98865.72,99439.22,96144.67,97764.43,97115.95007899136
BTCUSDT,2025-02-04,99355.18,100788.27,98782.63,98865.72,97184.86735574027
BTCUSDT,2025-02-04,98974.4,100405.45,98285.96,99355.18,97270.33373268745
BTCUSDT,2025-02-04,98448.25,99435.27,97861.99,98974.4,97337.42843419907
BTCUSDT,2025-02-04,100629.8,100768.65,98248.15,98448.25,97381.15824574228
BTCUSDT,2025-02-04,101331.07,101710.58,100557.14,100629.8,97509.02845519173
BTCUSDT,2025-02-03,101880.03,102481.28,100921.93,101331.07,97659.44645085993
BTCUSDT,2025-02-03,98844.11,101880.03,98036.4,101880.03,97825.52602425877
BTCUSDT,2025-02-03,95103.79,99496.53,94144.67,98844.11,97865.60183072658
BTCUSDT,2025-02-03,95318.49,95940.06,94796.75,95103.79,97756.95338393997
BTCUSDT,2025-02-03,94037.9,95412.09,92646.43,95318.49,97661.03720192797
BTCUSDT,2025-02-03,97696.4,97776.26,91205.58,94037.9,97518.53920856288
BTCUSDT,2025-02-02,98266.23,98625.07,96151.43,97696.4,97525.53367426684
BTCUSDT,2025-02-02,99345.66,99364.45,96825.48,98266.23,97554.65873389521
BTCUSDT,2025-02-02,98867.71,99433.28,98160.31,99345.66,97625.0756026429
BTCUSDT,2025-02-02,99633.66,100104.18,98636.32,98867.71,97673.92735786054
BTCUSDT,2025-02-02,99204.08,100503.15,99029.04,99633.66,97750.96293537665
BTCUSDT,2025-02-02,100635.03,101459.42,99158.17,99204.08,97808.07850288223
BTCUSDT,2025-02-01,101661.67,101661.68,100275.82,100635.03,97919.18340586087
BTCUSDT,2025-02-01,102071.64,102281.87,101447.13,101661.67,98066.2579896832
BTCUSDT,2025-02-01,102027.31,102322.8,101728.04,102071.64,98223.65094809458
BTCUSDT,2025-02-01,102165.53,102272.01,101408.79,102027.31,98373.10521999281
BTCUSDT,2025-02-01,102241.48,102579.41,102123.1,102165.53,98522.10666609195
BTCUSDT,2025-02-01,102430.9,102783.45,102185.1,102241.48,98668.22723106579
